,Countries,Speed in Mbps
0,                                  South Korea                                ,100.22
1,                                  United Arab Emirates                                ,99.67
2,                                  China                                ,97.1
3,                                  Qatar                                ,89.11
4,                                  Netherlands                                ,73.69
5,                                  Canada                                ,71.32
6,                                  Bulgaria                                ,67.67
7,                                  Australia                                ,67.58
8,                                  Norway                                ,67.4
9,                                  Saudi Arabia                                ,62.33
10,                                  Croatia                                ,61.31
11,                                  Switzerland                                ,57.31
12,                                  Singapore                                ,56.87
13,                                  Albania                                ,56.52
14,                                  New Zealand                                ,55.01
15,                                  Sweden                                ,51.86
16,                                  Austria                                ,51.12
17,                                  North Macedonia                                ,51.07
18,                                  Hong Kong (SAR)                                ,50.31
19,                                  Denmark                                ,49.9
20,                                  Macau (SAR)                                ,49.73
21,                                  Estonia                                ,49.57
22,                                  Lithuania                                ,49.44
23,                                  France                                ,48.45
24,                                  Luxembourg                                ,48.33
25,                                  Cyprus                                ,48.07
26,                                  Belgium                                ,48.07
27,                                  Serbia                                ,47.91
28,                                  Taiwan                                ,47.86
29,                                  Czechia                                ,47.78
30,                                  Malta                                ,47.64
31,                                  Finland                                ,46.86
32,                                  Montenegro                                ,45.27
33,                                  Lebanon                                ,44.65
34,                                  United States                                ,44.31
35,                                  Hungary                                ,42.77
36,                                  Kuwait                                ,42.44
37,                                  Slovenia                                ,40.52
38,                                  Greece                                ,39.37
39,                                  Bahrain                                ,38.62
40,                                  Romania                                ,38.26
41,                                  Italy                                ,38.24
42,                                  Germany                                ,38.1
43,                                  Slovakia                                ,37.52
44,                                  Portugal                                ,36.95
45,                                  Japan                                ,36.72
46,                                  United Kingdom                                ,36.38
47,                                  Moldova                                ,35.53
48,                                  Bosnia and Herzegovina                                ,35.49
49,                                  Oman                                ,34.86
50,                                  Armenia                                ,34.84
51,                                  Morocco                                ,34.69
52,                                  Spain                                ,34.67
53,                                  Jamaica                                ,34.67
54,                                  Poland                                ,34.51
55,                                  Trinidad and Tobago                                ,33.68
56,                                  Turkey                                ,33.48
57,                                  Kosovo                                ,33.46
58,                                  Latvia                                ,33.16
59,                                  Vietnam                                ,32.83
60,                                  Uruguay                                ,32.32
61,                                  South Africa                                ,31.8
62,                                  Thailand                                ,31.23
63,                                  Mexico                                ,30.8
64,                                  Azerbaijan                                ,29.7
65,                                  The Bahamas                                ,29.06
66,                                  Iran                                ,28.83
67,                                  Fiji                                ,28.45
68,                                  Tunisia                                ,28.44
69,                                  Cuba                                ,27.94
70,                                  Ireland                                ,27.74
71,                                  Argentina                                ,27.17
72,                                  Brazil                                ,26.46
73,                                  Maldives                                ,26.25
74,                                  Georgia                                ,25.97
75,                                  Jordan                                ,25.59
76,                                  Guatemala                                ,25.12
77,                                  Ukraine                                ,24.64
78,                                  Republic of the Union of Myanmar                                ,24.32
79,                                  Senegal                                ,24.23
80,                                  Belize                                ,23.78
81,                                  Dominican Republic                                ,23.66
82,                                  Mauritius                                ,23.35
83,                                  Costa Rica                                ,23.15
84,                                  Angola                                ,22.52
85,                                  Israel                                ,22.46
86,                                  Ecuador                                ,22.3
87,                                  Suriname                                ,22.25
88,                                  Malaysia                                ,22.18
89,                                  Nicaragua                                ,21.92
90,                                  Laos                                ,21.85
91,                                  Honduras                                ,21.7
92,                                  Kenya                                ,21.42
93,                                  Syria                                ,21.32
94,                                  Peru                                ,21.3
95,                                  Kazakhstan                                ,20.92
96,                                  Mongolia                                ,20.84
97,                                  Russia                                ,20.27
98,                                  Egypt                                ,19.98
99,                                  Colombia                                ,18.83
100,                                  Chile                                ,18.47
101,                                  Bolivia                                ,18.45
102,                                  Kyrgyzstan                                ,18.18
103,                                  Botswana                                ,17.62
104,                                  Mozambique                                ,17.42
105,                                  Ethiopia                                ,17.16
106,                                  Namibia                                ,16.76
107,                                  Panama                                ,16.72
108,                                  Cambodia                                ,16.69
109,                                  Paraguay                                ,16.15
110,                                  El Salvador                                ,16.12
111,                                  Nigeria                                ,16.09
112,                                  Pakistan                                ,15.74
113,                                  Sri Lanka                                ,15.51
114,                                  Indonesia                                ,15.15
115,                                  Ghana                                ,15.13
116,                                  Belarus                                ,15.1
117,                                  Haiti                                ,14.86
118,                                  Nepal                                ,14.76
119,                                  Côte d'Ivoire                                ,14.45
120,                                  Philippines                                ,14.23
121,                                  Zimbabwe                                ,13.99
122,                                  Uganda                                ,12.92
123,                                  Zambia                                ,12.67
124,                                  Somalia                                ,12.67
125,                                  Tanzania                                ,12.07
126,                                  India                                ,11.37
127,                                  Uzbekistan                                ,11.2
128,                                  Iraq                                ,10.85
129,                                  Bangladesh                                ,10.76
130,                                  Libya                                ,10.75
131,                                  Algeria                                ,10.55
132,                                  Rwanda                                ,10.33
133,                                  Tajikistan                                ,10.2
134,                                  Palestine                                ,8.12
135,                                  Sudan                                ,8.08
136,                                  Venezuela                                ,6.15
137,                                  Afghanistan                                ,5.71
