,Countries,Speed in Mbps
0,                                  Singapore                                ,205.13
1,                                  Hong Kong (SAR)                                ,183.24
2,                                  Thailand                                ,170.14
3,                                  Romania                                ,159.31
4,                                  Switzerland                                ,155.94
5,                                  Monaco                                ,152.91
6,                                  Liechtenstein                                ,151.32
7,                                  South Korea                                ,148.6
8,                                  Andorra                                ,146.6
9,                                  Macau (SAR)                                ,145.45
10,                                  Denmark                                ,141.68
11,                                  Sweden                                ,141.07
12,                                  United States                                ,138.02
13,                                  France                                ,135.16
14,                                  Spain                                ,132.84
15,                                  Hungary                                ,131.15
16,                                  Norway                                ,127.17
17,                                  China                                ,126.96
18,                                  Canada                                ,123.33
19,                                  Taiwan                                ,121.49
20,                                  New Zealand                                ,114.75
21,                                  Luxembourg                                ,114.29
22,                                  United Arab Emirates                                ,113.77
23,                                  Netherlands                                ,112.81
24,                                  Lithuania                                ,108.84
25,                                  Qatar                                ,108.25
26,                                  Portugal                                ,106.21
27,                                  Latvia                                ,105.89
28,                                  Chile                                ,103.56
29,                                  Malta                                ,102.3
30,                                  Poland                                ,98.24
31,                                  Japan                                ,95.03
32,                                  Israel                                ,93.75
33,                                  Finland                                ,91.87
34,                                  Germany                                ,91.26
35,                                  Panama                                ,87.54
36,                                  Belgium                                ,87.27
37,                                  Slovakia                                ,85.27
38,                                  Malaysia                                ,81.08
39,                                  Ireland                                ,79.2
40,                                  San Marino                                ,77.18
41,                                  Kuwait                                ,73.83
42,                                  Slovenia                                ,72.04
43,                                  Barbados                                ,70.75
44,                                  United Kingdom                                ,67.17
45,                                  Russia                                ,66.01
46,                                  Estonia                                ,65.79
47,                                  Saudi Arabia                                ,65.15
48,                                  Moldova                                ,60.79
49,                                  Bulgaria                                ,60.62
50,                                  Czechia                                ,60.5
51,                                  Serbia                                ,60.45
52,                                  Italy                                ,59.99
53,                                  Belarus                                ,59.56
54,                                  Trinidad and Tobago                                ,57.2
55,                                  Austria                                ,56.54
56,                                  Brazil                                ,55.59
57,                                  Ukraine                                ,54.73
58,                                  Vietnam                                ,52.29
59,                                  Uruguay                                ,49.19
60,                                  Jordan                                ,48.94
61,                                  Montenegro                                ,48.69
62,                                  Australia                                ,45.92
63,                                  Kosovo                                ,45.91
64,                                  Kazakhstan                                ,44.1
65,                                  Grenada                                ,43.63
66,                                  The Bahamas                                ,39.83
67,                                  Saint Vincent and the Grenadines                                ,38.72
68,                                  Belize                                ,38.43
69,                                  Ghana                                ,38.29
70,                                  Mexico                                ,38.15
71,                                  Croatia                                ,37.92
72,                                  Argentina                                ,37.85
73,                                  India                                ,35.96
74,                                  Kyrgyzstan                                ,35.77
75,                                  Costa Rica                                ,35.46
76,                                  South Africa                                ,34.89
77,                                  Paraguay                                ,34.3
78,                                  Laos                                ,34.16
79,                                  Bosnia and Herzegovina                                ,34.07
80,                                  Oman                                ,33.91
81,                                  Jamaica                                ,33.47
82,                                  Mongolia                                ,31.72
83,                                  Albania                                ,31.69
84,                                  Madagascar                                ,30.96
85,                                  Saint Lucia                                ,30.68
86,                                  Colombia                                ,30.59
87,                                  North Macedonia                                ,29.11
88,                                  Dominica                                ,29.07
89,                                  Greece                                ,29.05
90,                                  Cyprus                                ,29.04
91,                                  Guyana                                ,27.93
92,                                  Côte d'Ivoire                                ,27.62
93,                                  Iraq                                ,27.47
94,                                  Armenia                                ,26.8
95,                                  Bahrain                                ,26.57
96,                                  Uzbekistan                                ,26.48
97,                                  Saint Kitts and Nevis                                ,25.68
98,                                  Turkey                                ,25.35
99,                                  Peru                                ,24.93
100,                                  Bangladesh                                ,24.8
101,                                  Georgia                                ,24.77
102,                                  Sri Lanka                                ,24.48
103,                                  Fiji                                ,24.31
104,                                  Tajikistan                                ,24.1
105,                                  Gabon                                ,23.63
106,                                  Seychelles                                ,23.56
107,                                  Congo                                ,23.09
108,                                  Dominican Republic                                ,22.98
109,                                  Ecuador                                ,22.93
110,                                  Philippines                                ,22.31
111,                                  Cambodia                                ,21.83
112,                                  Egypt                                ,21.37
113,                                  Azerbaijan                                ,20.82
114,                                  Lebanon                                ,20.62
115,                                  Cape Verde                                ,20.5
116,                                  Indonesia                                ,19.79
117,                                  Togo                                ,19.73
118,                                  Nepal                                ,18.58
119,                                  Liberia                                ,18.52
120,                                  Senegal                                ,18.46
121,                                  Mali                                ,18.01
122,                                  Republic of the Union of Myanmar                                ,18.0
123,                                  Mauritius                                ,17.55
124,                                  Rwanda                                ,17.49
125,                                  Bolivia                                ,17.44
126,                                  Swaziland                                ,17.34
127,                                  Kenya                                ,16.39
128,                                  Iran                                ,15.75
129,                                  Honduras                                ,15.66
130,                                  Maldives                                ,15.32
131,                                  Angola                                ,15.3
132,                                  Somalia                                ,15.13
133,                                  Bhutan                                ,14.96
134,                                  Antigua and Barbuda                                ,14.85
